barcode	cluster_id	read_id
*	20165	29504
*	20165	29504
*	20165	29504
*	18123	29527
*	18123	29527
*	18123	29527
*	4877	29543
*	4877	29543
*	4305	29545
*	4305	29545
*	17202	29579
*	17202	29579
*	17202	29579
*	18660	29590
*	18660	29590
*	18660	29590
*	18523	29591
*	18523	29591
*	18523	29591
*	1727	29603
*	4171	29620
*	4171	29620
*	12600	29727
*	12600	29727
*	12600	29727
*	3195	298
*	13225	298
*	13225	298
*	13225	298
*	17815	29902
*	17815	29902
*	17815	29902
*	11615	29926
*	17736	29950
*	17736	29950
*	17736	29950
*	19929	29952
*	19929	29952
*	19929	29952
*	13164	30043
*	20500	30043
*	20500	30043
*	13164	30043
*	20500	30043
*	19148	30051
*	19148	30051
*	19148	30051
*	16883	30084
*	16883	30084
*	16883	30084
*	9722	30092
*	19551	30093
*	19551	30093
*	19551	30093
*	12586	30187
*	12586	30187
*	20098	30189
